Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
323,Anthony Santander#,30,TOR,AL,-1,54,221,194,16,34,5,0,6,18,0,0,25,61,0.175,0.271,0.294,0.565,55,0.253,50,57,6,1,0,1,1,D9/7H3,
324,Evan Carter*,22,TEX,AL,1.9,63,220,194,31,48,9,2,5,25,14,2,19,41,0.247,0.336,0.392,0.728,112,0.333,117,76,2,7,0,0,1,8/HD,
325,Max Muncy,22,ATH,AL,-0.1,63,220,206,17,44,7,0,9,23,1,1,10,68,0.214,0.259,0.379,0.638,73,0.276,64,78,1,3,0,1,0,54/6H,
326,Ezequiel Durán,26,TEX,AL,0.2,90,219,205,16,46,14,0,0,14,11,2,8,55,0.224,0.266,0.293,0.559,64,0.251,59,60,3,4,1,1,0,63H45/91D7,
327,Luke Raley*,30,SEA,AL,-0.3,73,219,183,23,37,8,0,4,19,2,1,19,64,0.202,0.319,0.311,0.631,84,0.294,91,57,2,13,3,1,0,93H/8D7,
328,Drew Waters#,26,KCR,AL,-0.4,71,219,206,21,50,6,3,1,14,5,3,11,60,0.243,0.288,0.316,0.603,70,0.281,76,65,2,2,0,0,0,789/HD,
329,Jake Bauers*,29,MIL,NL,0.6,85,218,183,28,43,9,0,7,28,8,1,32,59,0.235,0.353,0.399,0.752,110,0.34,110,73,1,2,0,1,1,3H7/D19,
330,Otto Kemp,25,PHI,NL,-0.2,62,218,197,26,46,11,0,8,28,2,2,12,67,0.234,0.298,0.411,0.709,91,0.314,93,81,4,7,0,2,0,537/H4,
331,Kameron Misner*,27,TBR,AL,0.6,71,217,197,27,42,9,1,5,22,8,1,16,69,0.213,0.273,0.345,0.618,72,0.279,68,68,1,1,1,2,0,89/7HD,
332,Jake Fraley*,30,2TM,NL,0.4,76,217,191,31,46,9,0,6,23,4,3,25,49,0.241,0.332,0.382,0.714,96,0.323,100,73,1,1,0,0,1,9H/7D,
332,Jake Fraley*,30,CIN,NL,0.4,67,193,168,29,39,8,0,6,23,4,2,24,41,0.232,0.332,0.387,0.719,96,0.324,97,65,1,1,0,0,1,9H/7D,
332,Jake Fraley*,30,ATL,NL,0,9,24,23,2,7,1,0,0,0,0,1,1,8,0.304,0.333,0.348,0.681,94,0.319,119,8,0,0,0,0,0,/9H7D,
333,Christian Vázquez,34,MIN,AL,0.7,65,214,190,14,36,7,0,3,14,1,1,18,35,0.189,0.271,0.274,0.545,52,0.259,57,52,3,4,0,2,0,2/H,
334,Orlando Arcia,30,2TM,NL,-1.2,76,214,203,13,41,7,1,3,13,0,1,10,47,0.202,0.238,0.291,0.529,42,0.243,40,59,4,0,0,1,0,6453/HD,
334,Orlando Arcia,30,ATL,NL,-0.1,14,32,31,1,6,1,0,0,1,0,0,1,8,0.194,0.219,0.226,0.445,27,0.23,41,7,0,0,0,0,0,6/DH,
334,Orlando Arcia,30,COL,NL,-1.1,62,182,172,12,35,6,1,3,12,0,1,9,39,0.203,0.242,0.302,0.544,45,0.245,40,52,4,0,0,1,0,4563/HD,
335,Parker Meadows*,25,DET,AL,0.3,58,213,191,22,41,6,2,4,16,4,0,21,56,0.215,0.291,0.33,0.621,73,0.279,70,63,0,0,0,1,0,8/H,
336,Max Schuemann,28,ATH,AL,0.1,101,213,183,20,36,4,2,2,13,7,1,22,35,0.197,0.295,0.273,0.568,59,0.273,57,50,6,4,3,1,0,45H6/789D,
337,Alex Verdugo*,29,ATL,NL,-0.2,56,213,197,21,47,10,0,0,12,1,0,14,31,0.239,0.296,0.289,0.585,67,0.269,68,57,1,2,0,0,0,7/H,
338,Josh Rojas*,31,CHW,AL,-1.5,69,211,189,14,34,9,0,2,11,4,1,19,48,0.18,0.252,0.259,0.512,45,0.246,47,49,6,0,1,2,0,54/7H,
339,Tyler O'Neill,30,BAL,AL,-0.6,54,209,181,22,36,6,1,9,26,4,0,22,51,0.199,0.292,0.392,0.684,92,0.302,90,71,2,3,0,3,1,9D/7H,
340,Rob Refsnyder,34,BOS,AL,1.2,70,209,182,29,49,12,0,9,30,3,0,24,54,0.269,0.354,0.484,0.838,133,0.368,138,88,6,1,0,2,1,9HD7,
341,Nacho Alvarez Jr.,22,ATL,NL,0.8,58,208,188,18,44,12,0,2,15,0,0,12,49,0.234,0.296,0.33,0.626,78,0.28,76,62,1,5,2,1,0,5/H,
342,Paul DeJong,31,WSN,NL,-0.2,57,208,193,18,44,10,0,6,23,4,0,11,70,0.228,0.269,0.373,0.642,80,0.283,74,72,3,1,0,3,0,546/D3H,
343,Edouard Julien*,26,MIN,AL,-0.7,64,208,182,13,40,10,0,3,12,0,3,22,61,0.22,0.309,0.324,0.633,76,0.274,73,59,3,2,1,1,0,34D/H6,
344,Luke Keaschall,22,MIN,AL,2,49,207,182,25,55,14,0,4,28,14,3,19,29,0.302,0.382,0.445,0.827,129,0.377,136,81,4,5,0,1,0,4/D,ROY-9
345,Ryan Ritter,24,COL,NL,0.3,60,207,187,22,45,9,3,1,18,3,1,10,61,0.241,0.296,0.337,0.632,69,0.29,68,63,7,5,4,1,0,64/H,
346,Robert Hassell III*,23,WSN,NL,-0.2,70,206,197,22,44,9,0,3,18,4,0,8,62,0.223,0.257,0.315,0.572,61,0.266,63,62,4,1,0,0,0,89H/7D,
347,Masataka Yoshida*,31,BOS,AL,0.3,55,205,188,16,50,11,0,4,26,3,0,10,24,0.266,0.307,0.388,0.696,95,0.32,103,73,3,3,0,4,0,D/H79,
348,José Herrera#,28,ARI,NL,0,57,204,166,21,31,6,0,2,17,0,0,23,47,0.187,0.285,0.259,0.544,54,0.254,50,43,2,1,11,3,0,01-Feb,
349,Yordan Alvarez*,28,HOU,AL,0.7,48,199,165,17,45,8,0,6,27,1,1,28,33,0.273,0.367,0.43,0.797,122,0.339,118,71,1,0,0,6,5,D7/H,
