Rk,Player,Age,Team,Lg,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards
243,Max Meyer,26,MIA,NL,-0.1,3,5,0.375,4.73,12,12,0,0,0,0,64.2,72,39,34,12,20,0,68,2,1,0,285,91,4.46,1.423,10,1.7,2.8,9.5,3.4,
244,Luke Weaver,31,NYY,AL,0.8,4,4,0.5,3.62,64,0,17,0,0,8,64.2,46,28,26,10,20,1,72,1,0,1,262,114,3.89,1.021,6.4,1.4,2.8,10,3.6,
245,Brandon Woodruff,32,MIL,NL,1.2,7,2,0.778,3.2,12,12,0,0,0,0,64.2,45,26,23,9,14,0,83,3,0,1,257,131,3.17,0.912,6.3,1.3,1.9,11.6,5.93,
246,Angel Zerpa*,25,KCR,AL,0.3,5,2,0.714,4.18,69,2,4,0,0,0,64.2,67,30,30,7,22,0,58,2,1,1,275,99,3.86,1.376,9.3,1,3.1,8.1,2.64,
247,Corbin Burnes,30,ARI,NL,1.8,3,2,0.6,2.66,11,11,0,0,0,0,64.1,49,23,19,7,26,1,63,3,2,1,265,161,3.94,1.166,6.9,1,3.6,8.8,2.42,
248,Jordan Leasure,26,CHW,AL,0.7,5,6,0.455,3.92,68,1,17,0,0,7,64.1,49,30,28,12,30,1,81,1,0,3,269,107,4.49,1.228,6.9,1.7,4.2,11.3,2.7,
249,Kumar Rocker,25,TEX,AL,-1,4,5,0.444,5.74,14,14,0,0,0,0,64.1,71,42,41,11,23,0,56,4,0,6,287,65,4.88,1.461,9.9,1.5,3.2,7.8,2.43,
250,Bowden Francis,29,TOR,AL,-0.8,2,8,0.2,6.05,14,14,0,0,0,0,64,71,46,43,19,27,0,54,6,0,3,288,72,6.85,1.531,10,2.7,3.8,7.6,2,
251,Robert Garcia*,29,TEX,AL,0.5,4,8,0.333,2.95,71,0,25,0,0,9,64,58,26,21,8,22,2,68,1,1,1,269,126,3.71,1.25,8.2,1.1,3.1,9.6,3.09,
252,John Schreiber,31,KCR,AL,0.4,3,3,0.5,3.8,74,0,8,0,0,1,64,57,29,27,10,19,1,62,1,0,2,265,108,4.17,1.188,8,1.4,2.7,8.7,3.26,
253,Ryan Yarbrough*,33,NYY,AL,0.7,3,1,0.75,4.36,19,8,4,0,0,1,64,58,31,31,13,19,0,55,2,0,0,264,94,5.04,1.203,8.2,1.8,2.7,7.7,2.89,
254,Reid Detmers*,25,LAA,AL,1.1,5,3,0.625,3.96,61,0,7,0,0,3,63.2,58,29,28,6,25,4,80,2,0,2,266,105,3.12,1.304,8.2,0.8,3.5,11.3,3.2,
255,Keegan Akin*,30,BAL,AL,0.9,5,4,0.556,3.41,64,3,18,0,0,8,63.1,54,28,24,10,33,2,59,1,0,2,268,118,4.94,1.374,7.7,1.4,4.7,8.4,1.79,
256,Yuki Matsui*,29,SDP,NL,0.5,3,1,0.75,3.98,61,0,19,0,0,1,63.1,53,29,28,10,33,2,61,1,0,5,272,107,4.87,1.358,7.5,1.4,4.7,8.7,1.85,
